iata,first_year,last_year,annual_mvts,peak_hour_mvts,annual_growth,peak_growth,absorption,peak_hour_share,state,note
ABU,2016,2019,2316,2.0,1.1209,1.0,0.892,0.000891,not_assessed,"below the screen floor, peak too small to read a trend"
ABV,2015,2018,41503,18.8,0.1551,0.316,2.037,0.000414,headroom,peak growing broadly in step with annual traffic
ABX,2015,2019,7644,3.2,0.0145,-0.198,nan,0.000567,not_assessed,"below the screen floor, peak too small to read a trend"
ABY,2015,2019,2010,2.1,0.0436,0.0937,2.149,0.001039,not_assessed,"below the screen floor, peak too small to read a trend"
ABZ,2015,2019,39152,14.9,-0.2569,-0.1334,0.519,0.000411,headroom,"traffic broadly flat, nothing to read into the peak"
ACA,2015,2019,11373,5.5,0.0886,-0.1363,-1.538,0.000703,not_assessed,"below the screen floor, peak too small to read a trend"
ACC,2015,2018,31890,10.3,-0.0463,0.7643,-16.521,0.000389,headroom,"traffic broadly flat, nothing to read into the peak"
ACE,2015,2019,51241,19.2,0.3151,0.196,0.622,0.000438,headroom,peak growing broadly in step with annual traffic
ACH,2015,2019,1771,2.0,0.0838,0.0247,0.294,0.001131,not_assessed,"below the screen floor, peak too small to read a trend"
ACI,2015,2019,4333,3.0,-0.1919,0.0368,-0.192,0.000692,not_assessed,"below the screen floor, peak too small to read a trend"
ACK,2015,2019,21932,11.6,-0.3176,-0.1219,0.384,0.001204,headroom,"traffic broadly flat, nothing to read into the peak"
ACT,2015,2019,3599,2.6,0.0227,0.0803,3.531,0.000706,not_assessed,"below the screen floor, peak too small to read a trend"
ACU,2015,2018,723,2.0,-0.0096,0.0,nan,0.002766,not_assessed,"below the screen floor, peak too small to read a trend"
ACV,2015,2019,4027,2.5,0.3958,0.078,0.197,0.000731,not_assessed,"below the screen floor, peak too small to read a trend"
ACX,2015,2019,15091,6.4,2.0438,0.8354,0.409,0.000427,not_assessed,"below the screen floor, peak too small to read a trend"
ACY,2015,2019,6248,3.5,-0.1956,-0.1966,1.005,0.00051,not_assessed,"below the screen floor, peak too small to read a trend"
ADA,2015,2019,31088,10.0,-0.0714,0.1291,-1.807,0.000318,headroom,"traffic broadly flat, nothing to read into the peak"
ADB,2015,2019,73398,16.9,0.1355,-0.0738,-0.544,0.000242,tightening,"growth going into the shoulder hours, not the peak"
ADD,2015,2018,97474,24.0,0.3986,-0.0295,-0.074,0.000315,tightening,"growth going into the shoulder hours, not the peak"
ADE,2015,2015,3504,2.0,nan,nan,nan,0.00076,too_short,"one observed year, no trend to read"
ADF,2015,2019,1610,2.3,0.0281,0.1444,5.138,0.001492,not_assessed,"below the screen floor, peak too small to read a trend"
ADL,2015,2019,77213,27.1,0.0115,0.2182,nan,0.000322,headroom,"traffic broadly flat, nothing to read into the peak"
ADQ,2015,2019,10220,2.0,-0.0775,-0.7201,9.298,0.000958,not_assessed,"below the screen floor, peak too small to read a trend"
ADU,2015,2019,2046,1.8,0.3759,0.1143,0.304,0.001238,not_assessed,"below the screen floor, peak too small to read a trend"
ADZ,2015,2019,14784,8.5,0.0645,0.3628,5.623,0.000584,not_assessed,"below the screen floor, peak too small to read a trend"
AEB,2015,2019,3674,3.2,1.7876,0.6511,0.364,0.001068,not_assessed,"below the screen floor, peak too small to read a trend"
AEG,2017,2019,1112,2.0,0.5233,0.0,0.0,0.003097,not_assessed,"below the screen floor, peak too small to read a trend"
AEP,2015,2019,106853,26.1,-0.061,0.0467,-0.766,0.000246,headroom,"traffic broadly flat, nothing to read into the peak"
AER,2015,2019,48230,14.0,0.8004,0.5608,0.701,0.000311,headroom,peak growing broadly in step with annual traffic
AES,2015,2019,11767,6.7,-0.083,-0.0652,0.786,0.00064,not_assessed,"below the screen floor, peak too small to read a trend"
AET,2015,2019,1210,2.0,-0.1712,0.0,-0.0,0.001653,not_assessed,"below the screen floor, peak too small to read a trend"
AEX,2015,2019,6553,3.5,-0.0442,-0.1899,4.298,0.000561,not_assessed,"below the screen floor, peak too small to read a trend"
AEY,2015,2019,4089,2.3,-0.0379,-0.0815,2.151,0.000771,not_assessed,"below the screen floor, peak too small to read a trend"
AFA,2015,2019,710,2.0,-0.022,0.0,-0.0,0.002817,not_assessed,"below the screen floor, peak too small to read a trend"
AFL,2015,2019,716,1.1,-0.2573,0.0815,-0.317,0.00151,not_assessed,"below the screen floor, peak too small to read a trend"
AGA,2015,2018,14530,8.2,0.2927,0.4082,1.394,0.000634,not_assessed,"below the screen floor, peak too small to read a trend"
AGH,2015,2019,6554,4.2,0.8774,0.2683,0.306,0.000786,not_assessed,"below the screen floor, peak too small to read a trend"
AGN,2015,2019,1642,4.0,-0.052,0.9449,-18.184,0.001991,not_assessed,"below the screen floor, peak too small to read a trend"
AGP,2015,2019,129617,40.1,0.3787,0.0763,0.201,0.00032,tightening,"growth going into the shoulder hours, not the peak"
AGS,2015,2019,10723,3.3,0.0422,-0.1244,-2.949,0.000414,not_assessed,"below the screen floor, peak too small to read a trend"
AGT,2016,2019,1370,2.2,-0.2198,0.2825,-1.285,0.001845,not_assessed,"below the screen floor, peak too small to read a trend"
AGU,2015,2019,10858,5.0,0.0351,-0.0675,-1.923,0.000527,not_assessed,"below the screen floor, peak too small to read a trend"
AGX,2019,2019,698,2.0,nan,nan,nan,0.003231,too_short,"one observed year, no trend to read"
AHB,2015,2019,35851,8.7,0.3541,0.0751,0.212,0.000276,tightening,"growth going into the shoulder hours, not the peak"
AHO,2015,2019,9276,7.0,-0.1771,-0.1718,0.97,0.000721,not_assessed,"below the screen floor, peak too small to read a trend"
AHU,2015,2017,652,1.5,0.7158,0.0526,0.074,0.001606,not_assessed,"below the screen floor, peak too small to read a trend"
AIA,2016,2019,1511,1.0,-0.3975,-0.4968,1.25,0.000959,not_assessed,"below the screen floor, peak too small to read a trend"
AIN,2015,2019,1950,2.1,0.514,1.0086,1.962,0.001613,not_assessed,"below the screen floor, peak too small to read a trend"
AIP,2019,2019,730,2.0,nan,nan,nan,0.002753,too_short,"one observed year, no trend to read"
AIT,2015,2019,3031,3.0,0.0714,0.2273,3.183,0.000868,not_assessed,"below the screen floor, peak too small to read a trend"
AJA,2015,2019,13287,10.9,0.0875,0.3859,4.411,0.000793,not_assessed,"below the screen floor, peak too small to read a trend"
AJF,2015,2019,4851,3.5,0.1129,0.2524,2.236,0.000755,not_assessed,"below the screen floor, peak too small to read a trend"
AJI,2015,2019,2098,3.0,0.5094,0.4896,0.961,0.001437,not_assessed,"below the screen floor, peak too small to read a trend"
AJL,2015,2019,1358,3.0,-0.3799,-0.25,0.658,0.002329,not_assessed,"below the screen floor, peak too small to read a trend"
AJN,2015,2018,6104,4.0,0.7932,0.3333,0.42,0.001029,not_assessed,"below the screen floor, peak too small to read a trend"
AJR,2015,2015,1246,2.0,nan,nan,nan,0.001531,too_short,"one observed year, no trend to read"
AJU,2015,2019,9251,3.4,-0.1059,-0.2474,2.336,0.000475,not_assessed,"below the screen floor, peak too small to read a trend"
AKI,2015,2016,2824,2.0,0.0028,0.0,nan,0.000708,not_assessed,"below the screen floor, peak too small to read a trend"
AKJ,2015,2019,6306,4.0,-0.1411,0.1601,-1.134,0.000576,not_assessed,"below the screen floor, peak too small to read a trend"
AKL,2015,2019,162243,35.8,0.2047,-0.1026,-0.501,0.00023,tightening,"growth going into the shoulder hours, not the peak"
AKN,2015,2019,2261,2.0,-0.4643,1.0126,-2.181,0.001523,not_assessed,"below the screen floor, peak too small to read a trend"
AKP,2015,2019,1774,3.0,0.4169,0.5,1.199,0.001369,not_assessed,"below the screen floor, peak too small to read a trend"
AKS,2017,2019,898,2.0,0.2038,0.0,0.0,0.004077,not_assessed,"below the screen floor, peak too small to read a trend"
AKU,2015,2019,17785,9.3,0.6919,0.5268,0.761,0.000538,not_assessed,"below the screen floor, peak too small to read a trend"
AKV,2015,2019,1452,2.0,0.0,-0.0307,nan,0.001377,not_assessed,"below the screen floor, peak too small to read a trend"
AKX,2015,2019,5664,3.0,0.3403,0.4849,1.425,0.000584,not_assessed,"below the screen floor, peak too small to read a trend"
AKY,2015,2019,5312,8.2,0.7555,0.6396,0.847,0.001508,not_assessed,"below the screen floor, peak too small to read a trend"
ALA,2015,2019,48866,10.3,0.0957,-0.114,-1.191,0.000238,tightening,"growth going into the shoulder hours, not the peak"
ALB,2015,2019,36738,12.1,-0.0056,0.0332,nan,0.00037,headroom,"traffic broadly flat, nothing to read into the peak"
ALC,2015,2019,95670,32.0,0.4041,0.0728,0.18,0.000357,tightening,"growth going into the shoulder hours, not the peak"
ALF,2015,2019,5888,4.0,-0.1709,-0.0724,0.424,0.0008,not_assessed,"below the screen floor, peak too small to read a trend"
ALG,2015,2018,78025,19.7,0.1341,0.0982,0.732,0.0003,headroom,peak growing broadly in step with annual traffic
ALH,2015,2019,2344,2.0,0.532,0.0129,0.024,0.000864,not_assessed,"below the screen floor, peak too small to read a trend"
ALO,2015,2019,1400,2.0,0.0386,-0.0677,-1.756,0.001429,not_assessed,"below the screen floor, peak too small to read a trend"
ALS,2015,2019,2846,2.0,0.2395,-0.0311,-0.13,0.000707,not_assessed,"below the screen floor, peak too small to read a trend"
ALW,2015,2019,1804,1.2,0.2813,0.0423,0.15,0.000674,not_assessed,"below the screen floor, peak too small to read a trend"
AMA,2015,2019,11923,3.9,0.0112,-0.0155,nan,0.000459,not_assessed,"below the screen floor, peak too small to read a trend"
AMD,2015,2019,79253,16.9,0.8827,0.5636,0.638,0.000218,headroom,peak growing broadly in step with annual traffic
AMH,2015,2018,737,2.0,0.0152,0.0,nan,0.002714,not_assessed,"below the screen floor, peak too small to read a trend"
AMM,2015,2019,71670,19.4,0.0935,0.2544,2.72,0.000269,headroom,peak growing broadly in step with annual traffic
AMQ,2015,2019,16186,9.8,-0.0287,-0.016,0.558,0.000574,not_assessed,"below the screen floor, peak too small to read a trend"
AMS,2015,2019,472628,131.9,0.1439,0.0119,0.082,0.000249,at_ceiling,"large airport, peak hour static across the window"
ANA,2017,2018,10322,11.0,2.0006,0.448,0.224,0.001523,not_assessed,"below the screen floor, peak too small to read a trend"
ANC,2015,2019,65153,20.2,-0.1198,0.4343,-3.625,0.00036,headroom,"traffic broadly flat, nothing to read into the peak"
ANF,2015,2019,14008,6.8,-0.1375,0.0027,-0.02,0.000508,not_assessed,"below the screen floor, peak too small to read a trend"
ANI,2015,2019,7237,4.4,0.2542,-0.1052,-0.414,0.001348,not_assessed,"below the screen floor, peak too small to read a trend"
ANM,2015,2015,547,1.2,nan,nan,nan,0.002212,too_short,"one observed year, no trend to read"
ANR,2015,2019,3383,3.0,-0.3316,-0.2558,0.771,0.000872,not_assessed,"below the screen floor, peak too small to read a trend"
ANS,2015,2015,742,1.8,nan,nan,nan,0.002395,too_short,"one observed year, no trend to read"
ANU,2015,2019,18563,10.1,0.1187,0.117,0.986,0.000747,not_assessed,"below the screen floor, peak too small to read a trend"
ANX,2015,2019,3106,2.8,0.0006,0.1172,nan,0.000932,not_assessed,"below the screen floor, peak too small to read a trend"
AOG,2015,2018,2588,2.2,0.4119,-0.0411,-0.1,0.000926,not_assessed,"below the screen floor, peak too small to read a trend"
AOI,2015,2019,4570,5.1,-0.2037,0.4967,-2.439,0.001322,not_assessed,"below the screen floor, peak too small to read a trend"
AOJ,2015,2019,15600,7.0,0.065,0.1842,2.834,0.000432,not_assessed,"below the screen floor, peak too small to read a trend"
AOK,2015,2019,2506,4.0,-0.259,1.0,-3.861,0.002174,not_assessed,"below the screen floor, peak too small to read a trend"
AOO,2015,2019,2718,2.1,0.0323,1.0669,33.048,0.00076,not_assessed,"below the screen floor, peak too small to read a trend"
AOR,2015,2019,10640,5.0,0.0638,-0.2857,-4.479,0.000497,not_assessed,"below the screen floor, peak too small to read a trend"
APL,2015,2018,4931,2.9,-0.0911,-0.1947,2.138,0.000892,not_assessed,"below the screen floor, peak too small to read a trend"
APN,2015,2019,1251,2.0,-0.0008,0.0247,nan,0.001608,not_assessed,"below the screen floor, peak too small to read a trend"
APO,2015,2019,6099,4.0,0.7875,0.3333,0.423,0.00069,not_assessed,"below the screen floor, peak too small to read a trend"
APW,2015,2019,2923,1.8,0.089,-0.1274,-1.431,0.000734,not_assessed,"below the screen floor, peak too small to read a trend"
AQG,2015,2019,6142,4.6,1.0111,0.5487,0.543,0.00075,not_assessed,"below the screen floor, peak too small to read a trend"
AQI,2015,2019,3178,4.1,0.4406,1.0317,2.341,0.001112,not_assessed,"below the screen floor, peak too small to read a trend"
AQJ,2015,2019,2653,3.0,0.6633,0.9403,1.418,0.00139,not_assessed,"below the screen floor, peak too small to read a trend"
AQP,2015,2019,15670,6.5,0.1765,-0.0532,-0.301,0.000449,not_assessed,"below the screen floor, peak too small to read a trend"
ARC,2015,2019,987,2.0,-0.1402,0.0,-0.0,0.00236,not_assessed,"below the screen floor, peak too small to read a trend"
ARD,2016,2019,2370,3.0,0.0505,-0.3571,-7.068,0.001275,not_assessed,"below the screen floor, peak too small to read a trend"
ARH,2015,2019,7596,4.0,-0.3422,-0.3359,0.982,0.000577,not_assessed,"below the screen floor, peak too small to read a trend"
ARI,2015,2019,6176,4.2,0.3941,0.1159,0.294,0.00077,not_assessed,"below the screen floor, peak too small to read a trend"
ARK,2015,2018,26530,26.2,2.2536,1.5185,0.674,0.001021,headroom,peak growing broadly in step with annual traffic
ARM,2015,2019,5049,3.0,0.0229,-0.1412,-6.168,0.000586,not_assessed,"below the screen floor, peak too small to read a trend"
ARN,2015,2019,216559,64.2,0.0567,-0.0195,-0.343,0.000281,at_ceiling,"large airport, peak hour static across the window"
ART,2015,2019,1442,1.4,-0.0069,-0.3229,nan,0.000939,not_assessed,"below the screen floor, peak too small to read a trend"
ARU,2015,2019,2014,2.1,0.0707,0.0719,1.016,0.001035,not_assessed,"below the screen floor, peak too small to read a trend"
ASB,2015,2019,17633,5.9,0.2384,-0.0134,-0.056,0.000365,not_assessed,"below the screen floor, peak too small to read a trend"
ASE,2015,2019,13262,11.0,0.2883,0.183,0.635,0.000816,not_assessed,"below the screen floor, peak too small to read a trend"
ASF,2015,2019,5369,3.5,0.1317,0.7507,5.698,0.000707,not_assessed,"below the screen floor, peak too small to read a trend"
ASJ,2015,2019,13911,5.9,-0.0052,-0.1676,nan,0.000617,not_assessed,"below the screen floor, peak too small to read a trend"
ASM,2015,2018,4027,1.0,0.8355,-0.2783,-0.333,0.000811,not_assessed,"below the screen floor, peak too small to read a trend"
ASO,2015,2018,1004,2.0,0.3867,0.0119,0.031,0.002018,not_assessed,"below the screen floor, peak too small to read a trend"
ASP,2015,2019,6446,5.3,0.0053,-0.0221,nan,0.00085,not_assessed,"below the screen floor, peak too small to read a trend"
ASR,2015,2019,14001,4.5,0.04,-0.2056,-5.146,0.000382,not_assessed,"below the screen floor, peak too small to read a trend"
ASS,2016,2018,1875,1.6,0.3666,0.0214,0.058,0.001127,not_assessed,"below the screen floor, peak too small to read a trend"
ASU,2015,2019,17118,4.2,0.637,0.2387,0.375,0.000382,not_assessed,"below the screen floor, peak too small to read a trend"
ASV,2015,2018,14353,25.4,7.2252,9.0676,1.255,0.00187,not_assessed,"below the screen floor, peak too small to read a trend"
ASW,2015,2018,5882,5.1,0.3323,1.4386,4.33,0.000956,not_assessed,"below the screen floor, peak too small to read a trend"
ATC,2015,2017,1820,4.0,-0.0827,1.0,-12.098,0.001872,not_assessed,"below the screen floor, peak too small to read a trend"
ATH,2015,2019,202157,57.4,0.3513,0.514,1.463,0.000293,headroom,peak growing broadly in step with annual traffic
ATJ,2015,2015,122,0.4,nan,nan,nan,0.003454,too_short,"one observed year, no trend to read"
ATK,2015,2019,1952,2.0,0.5155,-0.0138,-0.027,0.001767,not_assessed,"below the screen floor, peak too small to read a trend"
ATL,2015,2019,872285,209.5,0.0192,-0.0616,nan,0.000242,headroom,"traffic broadly flat, nothing to read into the peak"
ATM,2015,2019,2012,3.0,-0.4679,-0.0143,0.031,0.001759,not_assessed,"below the screen floor, peak too small to read a trend"
ATQ,2015,2019,17990,6.9,1.0198,0.3345,0.328,0.000425,not_assessed,"below the screen floor, peak too small to read a trend"
ATT,2015,2019,2275,3.0,-0.4086,0.4684,-1.146,0.001273,not_assessed,"below the screen floor, peak too small to read a trend"
ATW,2015,2019,13709,5.4,0.4095,0.408,0.996,0.000523,not_assessed,"below the screen floor, peak too small to read a trend"
ATY,2017,2019,1378,2.3,0.1024,1.26,12.305,0.00164,not_assessed,"below the screen floor, peak too small to read a trend"
ATZ,2016,2018,3268,2.0,-0.1905,-0.1955,1.026,0.000727,not_assessed,"below the screen floor, peak too small to read a trend"
AUA,2015,2019,24787,16.7,-0.0863,0.2105,-2.44,0.000848,headroom,"traffic broadly flat, nothing to read into the peak"
AUC,2015,2019,3289,3.0,0.8131,-0.1667,-0.205,0.00097,not_assessed,"below the screen floor, peak too small to read a trend"
AUG,2015,2019,2482,2.0,0.0,0.0,nan,0.000806,not_assessed,"below the screen floor, peak too small to read a trend"
AUH,2015,2019,113272,33.0,-0.2285,-0.1717,0.752,0.000333,headroom,"traffic broadly flat, nothing to read into the peak"
AUQ,2015,2019,1305,2.0,0.0101,-0.1111,nan,0.002422,not_assessed,"below the screen floor, peak too small to read a trend"
AUS,2015,2019,138917,33.3,0.2361,0.0544,0.23,0.000247,tightening,"growth going into the shoulder hours, not the peak"
AUX,2015,2019,842,1.0,-0.4684,-0.7495,1.6,0.00126,not_assessed,"below the screen floor, peak too small to read a trend"
AVA,2015,2019,3354,3.1,0.6017,0.3639,0.605,0.00096,not_assessed,"below the screen floor, peak too small to read a trend"
AVL,2015,2019,21764,7.7,0.6639,0.6098,0.919,0.000403,headroom,peak growing broadly in step with annual traffic
AVP,2015,2019,12261,4.7,0.2302,-0.1325,-0.576,0.000453,not_assessed,"below the screen floor, peak too small to read a trend"
AVV,2015,2019,6570,2.7,0.7776,0.2921,0.376,0.00054,not_assessed,"below the screen floor, peak too small to read a trend"
AWA,2017,2018,1557,2.1,0.0738,0.0561,0.76,0.001322,not_assessed,"below the screen floor, peak too small to read a trend"
AWZ,2015,2019,15780,6.0,0.1169,-0.2248,-1.924,0.000493,not_assessed,"below the screen floor, peak too small to read a trend"
AXA,2015,2019,8818,5.0,1.3248,0.5288,0.399,0.001012,not_assessed,"below the screen floor, peak too small to read a trend"
AXD,2015,2019,2982,3.9,0.1304,0.664,5.092,0.001457,not_assessed,"below the screen floor, peak too small to read a trend"
AXF,2015,2019,4898,4.0,0.428,0.3333,0.779,0.00071,not_assessed,"below the screen floor, peak too small to read a trend"
AXJ,2017,2019,2384,2.2,-0.1813,0.0762,-0.42,0.000907,not_assessed,"below the screen floor, peak too small to read a trend"
AXM,2015,2019,4670,4.5,-0.1385,1.2478,-9.007,0.000904,not_assessed,"below the screen floor, peak too small to read a trend"
AXT,2015,2019,15424,6.2,-0.0404,-0.0329,0.813,0.000407,not_assessed,"below the screen floor, peak too small to read a trend"
AXU,2015,2018,2999,2.0,0.2156,-0.0063,-0.029,0.000834,not_assessed,"below the screen floor, peak too small to read a trend"
AYM,2015,2016,732,1.0,0.0027,0.0,nan,0.001292,not_assessed,"below the screen floor, peak too small to read a trend"
AYP,2015,2019,2654,2.4,-0.1159,-0.3302,2.849,0.000996,not_assessed,"below the screen floor, peak too small to read a trend"
AYQ,2015,2019,4113,3.2,0.2694,0.0538,0.2,0.000849,not_assessed,"below the screen floor, peak too small to read a trend"
AYT,2015,2019,112312,33.7,0.2297,0.12,0.523,0.000319,headroom,peak growing broadly in step with annual traffic
AZA,2015,2019,11935,6.5,0.3454,0.0612,0.177,0.000522,not_assessed,"below the screen floor, peak too small to read a trend"
AZD,2015,2019,3866,3.8,0.0362,0.2193,6.062,0.000947,not_assessed,"below the screen floor, peak too small to read a trend"
AZO,2015,2019,7642,4.2,0.1577,0.1015,0.643,0.000619,not_assessed,"below the screen floor, peak too small to read a trend"
AZR,2015,2018,2116,1.2,0.0527,-0.6062,-11.495,0.000857,not_assessed,"below the screen floor, peak too small to read a trend"
BAH,2015,2019,78862,19.0,-0.0329,-0.0395,1.203,0.000256,headroom,"traffic broadly flat, nothing to read into the peak"
BAL,2016,2019,3096,3.8,0.084,0.1166,1.388,0.00126,not_assessed,"below the screen floor, peak too small to read a trend"
BAQ,2015,2019,24849,11.9,0.0955,0.1897,1.987,0.000475,headroom,peak growing broadly in step with annual traffic
BAR,2017,2018,4061,5.5,0.3164,0.1,0.316,0.001329,not_assessed,"below the screen floor, peak too small to read a trend"
BAV,2015,2019,19456,10.9,0.0714,0.2543,3.564,0.000532,not_assessed,"below the screen floor, peak too small to read a trend"
BAX,2015,2019,4147,4.7,0.4821,0.1989,0.412,0.0012,not_assessed,"below the screen floor, peak too small to read a trend"
BBA,2015,2019,4952,4.6,0.6057,0.5476,0.904,0.00099,not_assessed,"below the screen floor, peak too small to read a trend"
BBI,2015,2019,28053,9.6,1.1523,0.1952,0.169,0.000344,tightening,"growth going into the shoulder hours, not the peak"
BBK,2015,2018,1253,2.0,-0.21,-0.3563,1.697,0.00155,not_assessed,"below the screen floor, peak too small to read a trend"
BBN,2015,2019,2501,4.0,0.1317,0.3333,2.532,0.001599,not_assessed,"below the screen floor, peak too small to read a trend"
BCD,2015,2019,13264,5.0,0.1463,-0.2388,-1.632,0.000423,not_assessed,"below the screen floor, peak too small to read a trend"
BCM,2015,2019,3024,2.0,0.0968,-0.0426,-0.439,0.000679,not_assessed,"below the screen floor, peak too small to read a trend"
BCN,2015,2019,324594,75.4,0.2111,0.1101,0.522,0.000233,headroom,peak growing broadly in step with annual traffic
BCV,2015,2019,4356,4.0,-0.082,0.0096,-0.117,0.000923,not_assessed,"below the screen floor, peak too small to read a trend"
BDA,2015,2019,7591,6.0,0.0885,0.0071,0.08,0.000721,not_assessed,"below the screen floor, peak too small to read a trend"
BDB,2015,2019,3511,4.0,-0.1273,0.2276,-1.788,0.001385,not_assessed,"below the screen floor, peak too small to read a trend"
BDJ,2015,2019,31546,12.0,0.0309,-0.0971,-3.144,0.000355,tightening,"growth going into the shoulder hours, not the peak"
BDL,2015,2019,62329,16.7,-0.0574,-0.0993,1.73,0.000288,headroom,"traffic broadly flat, nothing to read into the peak"
BDO,2015,2019,23425,8.0,-0.2215,-0.2838,1.282,0.000459,headroom,"traffic broadly flat, nothing to read into the peak"
BDP,2015,2019,4255,3.0,0.4572,-0.4,-0.875,0.000697,not_assessed,"below the screen floor, peak too small to read a trend"
BDQ,2015,2019,8197,5.6,0.228,0.3468,1.521,0.000644,not_assessed,"below the screen floor, peak too small to read a trend"
BDS,2015,2019,17856,9.0,0.1583,0.2649,1.673,0.000519,not_assessed,"below the screen floor, peak too small to read a trend"
BDU,2015,2019,1872,2.0,-0.0696,0.0,-0.0,0.001068,not_assessed,"below the screen floor, peak too small to read a trend"
BEB,2015,2019,1922,1.8,0.1266,-0.1376,-1.087,0.001177,not_assessed,"below the screen floor, peak too small to read a trend"
BEF,2017,2019,3146,2.0,-0.3395,-0.5439,1.602,0.001657,not_assessed,"below the screen floor, peak too small to read a trend"
BEG,2015,2019,57947,15.9,0.1256,-0.0245,-0.195,0.000335,tightening,"growth going into the shoulder hours, not the peak"
BEJ,2015,2019,7601,5.1,-0.0701,-0.1539,2.195,0.000842,not_assessed,"below the screen floor, peak too small to read a trend"
BEL,2015,2019,27392,9.9,-0.2386,-0.0141,0.059,0.000374,headroom,"traffic broadly flat, nothing to read into the peak"
BEN,2015,2018,2726,2.0,-0.0671,-0.3064,4.567,0.000755,not_assessed,"below the screen floor, peak too small to read a trend"
BES,2015,2019,12267,5.3,0.0991,0.2212,2.233,0.000539,not_assessed,"below the screen floor, peak too small to read a trend"
BET,2015,2019,35429,11.2,-0.3723,-0.18,0.484,0.000818,headroom,"traffic broadly flat, nothing to read into the peak"
BEW,2015,2018,5397,3.9,0.076,0.7881,10.376,0.000946,not_assessed,"below the screen floor, peak too small to read a trend"
BEY,2015,2019,61373,11.5,0.0926,-0.2305,-2.489,0.000238,tightening,"growth going into the shoulder hours, not the peak"
BFD,2016,2019,2506,2.1,0.0204,0.0334,1.643,0.000825,not_assessed,"below the screen floor, peak too small to read a trend"
BFF,2015,2019,1251,2.1,-0.1866,-0.0035,0.019,0.001657,not_assessed,"below the screen floor, peak too small to read a trend"
BFI,2015,2019,2774,2.0,-0.0064,0.0,nan,0.000721,not_assessed,"below the screen floor, peak too small to read a trend"
BFJ,2015,2019,14320,8.0,0.8284,0.9364,1.13,0.000588,not_assessed,"below the screen floor, peak too small to read a trend"
BFL,2015,2019,4939,4.1,-0.1999,0.0952,-0.476,0.000931,not_assessed,"below the screen floor, peak too small to read a trend"
BFN,2015,2018,9015,3.0,0.0411,0.0337,0.819,0.000738,not_assessed,"below the screen floor, peak too small to read a trend"
BFS,2015,2019,42292,16.0,0.3572,-0.0014,-0.004,0.00038,tightening,"growth going into the shoulder hours, not the peak"
BFV,2015,2019,3632,4.0,1.2573,1.0,0.795,0.001181,not_assessed,"below the screen floor, peak too small to read a trend"
BGA,2015,2019,23524,6.9,0.4862,0.2058,0.423,0.00039,headroom,peak growing broadly in step with annual traffic
BGF,2015,2018,1786,3.0,0.3191,0.2381,0.746,0.002236,not_assessed,"below the screen floor, peak too small to read a trend"
BGG,2015,2019,1418,2.1,0.3178,-0.1251,-0.393,0.00166,not_assessed,"below the screen floor, peak too small to read a trend"
BGI,2015,2019,23334,9.1,0.1854,-0.0716,-0.386,0.000578,tightening,"growth going into the shoulder hours, not the peak"
BGM,2015,2019,1916,2.1,-0.6339,-0.3397,0.536,0.001122,not_assessed,"below the screen floor, peak too small to read a trend"
