obs_id,iata,constraint_type,value,unit,rate_basis,declared_no_limit,config,season,validity_from,validity_to,basis,source_title,source_url,source_locator,source_date,retrieved_date,language,machine_readable,grade,confidence,entered_by,entered_date,checked_by,checked_date,superseded_by,notes
FR-ORY-12,ORY,curfew,,hours_per_day,,false,,permanent,,,regulator_decree,Decree of 4 April 1968 on night operations at Orly,https://www.cohor.org/en/airports/paris-orly-airport-ory-lfpo/,,1968-04-04,2026-08-03,fr,true,A,,Claude harvest 2026-08-03,2026-08-03,,,,"VALUE DELIBERATELY BLANK. A night curfew is referenced on the COHOR page but the hours were not stated in the text read, and they are not being written down from recall. Read the decree before filling."
FR-ORY-13,ORY,terminal,,pax_per_hr,,false,,S26,2026-03-29,2026-10-24,coordinator_declaration,COHOR Paris Orly coordination parameters,https://www.cohor.org/en/airports/paris-orly-airport-ory-lfpo/,S26 Parameters,2026,2026-08-03,en,true,A,A,Claude harvest 2026-08-03,2026-08-03,,,,"The terminal alert threshold is recorded as suspended for S26, so no terminal figure is in force. Not the same as a declaration of no limitation, which is what Nice and Lyon give; here a limit exists on paper and is not being applied."
FR-NCE-10,NCE,terminal,,,,true,,S26,2026-03-29,2026-10-24,coordinator_declaration,COHOR Nice Cote d'Azur coordination parameters,https://www.cohor.org/en/airports/nice-cote-dazur-airport-nce-lfmn/,S26 Parameters,2026,2026-08-03,en,true,A,A,Claude harvest 2026-08-03,2026-08-03,,,,"Quote: terminal 'No limitation'. This is the finding that matters at Nice: the operator's 14m terminal figure is not a coordinator constraint, and Nice handled 15.1m. The runway, not the terminal, is what binds."
FR-NCE-11,NCE,runway,,mvts_per_hr,declared_with_delay_tolerance,false,ordinary,S26,2026-03-29,2026-10-24,coordinator_declaration,COHOR Nice Cote d'Azur coordination parameters,https://www.cohor.org/wp-content/uploads/2025/10/NCE-ORDINARY-RUNWAY-LIMIT.png,S26 ordinary runway image,2026,2026-08-03,en,false,A,,Claude harvest 2026-08-03,2026-08-03,,,,"Pending transcription. This is the binding constraint at Nice and the highest-value image in the set."
FR-NCE-12,NCE,atc,,mvts_per_hr,declared_with_delay_tolerance,false,,S26,2026-03-29,2026-10-24,coordinator_declaration,COHOR Nice Cote d'Azur coordination parameters,https://www.cohor.org/wp-content/uploads/2026/02/NCE-S26-ATC-EN.png,S26 ATC image,2026,2026-08-03,en,false,A,,Claude harvest 2026-08-03,2026-08-03,,,,"Pending transcription. Where both a runway and an ATC rate are declared the engine takes the lower of the two, so both are needed before Nice resolves."
FR-NCE-13,NCE,stand,,stands,,false,,S26,2026-03-29,2026-10-24,coordinator_declaration,COHOR Nice Cote d'Azur coordination parameters,https://www.cohor.org/en/airports/nice-cote-dazur-airport-nce-lfmn/,S26 Parameters,2026,2026-08-03,en,false,A,,Claude harvest 2026-08-03,2026-08-03,,,,"A stand limit is declared at Nice; figure pending transcription from the published parameters."
FR-CEQ-10,CEQ,runway,,mvts_per_hr,declared_with_delay_tolerance,false,,S26,2026-03-29,2026-10-24,coordinator_declaration,COHOR Cannes coordination parameters,https://www.cohor.org/wp-content/uploads/2026/02/CES-S26-RUNWAY-V2.png,S26 Runway image,2026,2026-08-03,en,false,A,,Claude harvest 2026-08-03,2026-08-03,,,,"Level 3 seasonally only, mid-May to mid-September, 08:00 local to 30 minutes after sunset. General and business aviation airport; minimal scheduled commercial traffic."
FR-BVA-10,BVA,runway,,mvts_per_hr,,false,,permanent,,,coordinator_no_declaration,COHOR Paris Beauvais airport page,https://www.cohor.org/en/airports/aeroport-de-paris-beauvais-bva-lfob/,,2026,2026-08-03,en,true,C,A,Claude harvest 2026-08-03,2026-08-03,,,,"NO coordination parameters published. Beauvais is IATA Level 1, so COHOR collects schedule data but declares no capacity. Opening 05:00-23:59 local, arrivals from 05:00 and departures from 06:00. Any capacity figure must come from the operator or a masterplan."
FR-MRS-10,MRS,runway,,mvts_per_hr,,false,,permanent,,,coordinator_no_declaration,COHOR Marseille Provence airport page,https://www.cohor.org/en/airports/marseille-provence-mrs-lfml/,,2026,2026-08-03,en,true,C,A,Claude harvest 2026-08-03,2026-08-03,,,,"NO standing coordination parameters. Marseille is IATA Level 1; it was temporarily Level 3 for the Paris 2024 Games (16 July to 11 August 2024) and for the 2023 Rugby World Cup, and those temporary parameters are published but do not describe normal operation. Open 24 hours."
FR-BSL-10,BSL,terminal,2600,pax_per_hr,,false,06:00-06:59 local,S26,2026-03-29,2026-10-24,coordinator_declaration,COHOR EuroAirport Basel Mulhouse Freiburg coordination parameters,https://www.cohor.org/en/airports/euroairport-basel-mulhouse-freiburg-bsl-lszm/,S26 Parameters,2026,2026-08-03,en,true,A,B,Claude harvest 2026-08-03,2026-08-03,,,,"Quote: '2600 passengers per rolling 60 minutes' for 06:00-06:59. A parallel limit of '2000 passengers per rolling 30 minutes' applies in the same hour. HIGHER than the rest of the day, which is plausible for the Basel early-morning departure wave but should be confirmed on a second reading. Whether the limit is departures-only was not stated in the text read. Load factor 85%. W26 identical."
FR-BSL-11,BSL,terminal,2100,pax_per_hr,,false,07:00-22:59 local,S26,2026-03-29,2026-10-24,coordinator_declaration,COHOR EuroAirport Basel Mulhouse Freiburg coordination parameters,https://www.cohor.org/en/airports/euroairport-basel-mulhouse-freiburg-bsl-lszm/,S26 Parameters,2026,2026-08-03,en,true,A,A,Claude harvest 2026-08-03,2026-08-03,,,,"Quote: '1400 passengers per rolling 30 minutes' and '2100 passengers per rolling 60 minutes' for 07:00-22:59. This is the binding figure for most of the day and the one the engine should use. W26 identical to S26."
FR-BSL-12,BSL,curfew,,hours_per_day,,false,,S26,2026-03-29,2026-10-24,coordinator_declaration,COHOR EuroAirport Basel Mulhouse Freiburg coordination parameters,https://www.cohor.org/en/airports/euroairport-basel-mulhouse-freiburg-bsl-lszm/,S26 Parameters,2026,2026-08-03,en,true,A,A,Claude harvest 2026-08-03,2026-08-03,,,,"Opening hours rather than a decreed curfew: commercial arrivals 05:00-23:59, commercial departures 06:00-22:59 local. hours_per_day left blank because the two flows differ; the departure window is 17 hours and the arrival window 19."
FR-FSC-10,FSC,runway,,mvts_per_hr,declared_with_delay_tolerance,false,arrivals,S26,2026-03-29,2026-10-24,coordinator_declaration,COHOR Figari Sud Corse coordination parameters,https://www.cohor.org/wp-content/uploads/FIGARI_S20_I1.png,S20 runway arrivals image 1 of 2,2026,2026-08-03,en,false,A,,Claude harvest 2026-08-03,2026-08-03,,,,"Level 3 in summer only. Hours 06:45-22:59 local. Arrivals runway capacity published across two images; pending transcription. Second image FIGARI_S20_I2.png. Exact upload paths need confirming from the live page."
FR-FSC-11,FSC,terminal,9,check_in_banks,,false,departures,S26,2026-03-29,2026-10-24,coordinator_declaration,COHOR Figari Sud Corse coordination parameters,https://www.cohor.org/en/airports/figari-sud-corse-fsc-lfkf/,S26 Parameters Departures,2026,2026-08-03,en,true,A,A,Claude harvest 2026-08-03,2026-08-03,,,,"Quote: departures constrained by 'the maximum number of available check-in banks set at 9'. Applied at 100% load factor, NOT 85% as at Nantes and Basel. UNIT IS NOT IN THE SCHEMA: check-in banks convert to a passenger rate only via the allocation table, which is published as an image (banques-.png). Non-Schengen departures separated by 45 minutes."
FR-FSC-12,FSC,stand,6,stands,,false,commercial,S26,2026-03-29,2026-10-24,coordinator_declaration,COHOR Figari Sud Corse coordination parameters,https://www.cohor.org/en/airports/figari-sud-corse-fsc-lfkf/,S26 Parameters Parking,2026,2026-08-03,en,true,A,A,Claude harvest 2026-08-03,2026-08-03,,,,"Quote: 'Up to 6 parking spaces, provided that at least one of the aircraft is an ATR72; Up to 5 parking spaces for other types'. Conditional on fleet mix, so 5 is the figure to use for an all-jet schedule."
FR-CMF-10,CMF,stand,7,stands,,false,commercial,S26,2026-03-29,2026-10-24,coordinator_declaration,COHOR Chambery coordination parameters,https://www.cohor.org/en/airports/chambery-cmf-lflb/,S26 Parameters Parking,2026,2026-08-03,en,true,A,A,Claude harvest 2026-08-03,2026-08-03,,,,"Quote: 'Up to 7 parking stand can be allocated to commercial flights; Up to 5 parking stands can be allocated to the following aircraft types: B737-700, B737-800, B737-MAX8, B737-MAX9, B757-200, B757-300, A320, A321 and MD83'. So 5 is the effective limit for a narrowbody jet schedule. Hours 07:00-20:59 local."
FR-CMF-11,CMF,stand,6,stands,,false,commercial,W26,2026-10-25,2027-03-27,coordinator_declaration,COHOR Chambery coordination parameters,https://www.cohor.org/en/airports/chambery-cmf-lflb/,W26 Parameters Parking,2026,2026-08-03,en,true,A,A,Claude harvest 2026-08-03,2026-08-03,,,,"W26 reduces the stand limits to 6 commercial and 4 for the listed narrowbody types, attributed to the EU Entry/Exit System. FIRST OBSERVED CASE of a border-control change tightening a declared capacity. Chambery is a winter-peaking ski airport, so this bites in the season that matters."
FR-CMF-12,CMF,atc,,mvts_per_hr,declared_with_delay_tolerance,false,,S26,2026-03-29,2026-10-24,coordinator_declaration,COHOR Chambery coordination parameters,https://www.cohor.org/en/airports/chambery-cmf-lflb/,S26 Parameters runway image,2026,2026-08-03,en,false,A,,Claude harvest 2026-08-03,2026-08-03,,,,"SHARED CONSTRAINT: Chambery and Annecy share one TMA, so the limit is on the airspace, not the airport. COHOR recommends arrival schedules only for this reason. Runway tables published as images, pending transcription. The register schema assumes one constraint per airport and does not yet represent a constraint shared across two."
FR-NCY-10,NCY,atc,3,mvts_per_hr,declared_with_delay_tolerance,false,arrivals,S26,2026-03-29,2026-10-24,coordinator_declaration,COHOR Annecy coordination parameters,https://www.cohor.org/en/airports/annecy-ncy-lflp/,S26 Parameters,2026,2026-08-03,en,true,A,A,Claude harvest 2026-08-03,2026-08-03,,,,"Quote: 'Up to 3 arrivals per hour at Annecy Airport'. SHARED CONSTRAINT with Chambery (CMF) through a common TMA. Additional runway tables published as images. Three arrivals an hour is a hard ceiling: at 180 seats and 82% load factor that is circa 443 arriving passengers an hour."
FR-SBH-10,SBH,stand,10,stands,,false,"aircraft, 07:30 to sunset-15",W25,2025-10-26,2026-03-28,coordinator_declaration,COHOR Saint Barthelemy facilitation parameters,https://www.cohor.org/en/airports/saint-barthelemy-airport-sbh-tffj/,W25 Facilitation Parameters,2026,2026-08-03,en,true,A,A,Claude harvest 2026-08-03,2026-08-03,,,,"Quote: 'From 07:30 local time until 15 minutes before sunset: up to 10 parking stands for aircrafts; up to 2 parking stands for helicopters'. FACILITATION not coordination: Level 2, so these are scheduling recommendations rather than binding allocations. Each aircraft uses one stand. Constraint is per rotation (arrival plus departure). Opening 07:00 LT to sunset plus 15 minutes."
FR-SBH-11,SBH,stand,12,stands,,false,"aircraft, sunset-14 to 07:29",W25,2025-10-26,2026-03-28,coordinator_declaration,COHOR Saint Barthelemy facilitation parameters,https://www.cohor.org/en/airports/saint-barthelemy-airport-sbh-tffj/,W25 Facilitation Parameters,2026,2026-08-03,en,true,A,A,Claude harvest 2026-08-03,2026-08-03,,,,"Quote: 'From 14 minutes before sunset until 07:29 local time: up to 12 parking stands for aircrafts; up to 2 parking stands for helicopters'. Overnight parking allowance, so it does not govern daytime throughput. Also: until 1 October 2026 the facilitator holds back 2 stands, then 1, up to 5 days before operation."
FR-BOD-10,BOD,runway,,mvts_per_hr,,false,,permanent,,,coordinator_no_declaration,COHOR Bordeaux Merignac airport page,https://www.cohor.org/en/airports/bordeaux-merignac-airport-bod-lfbd/,,2026,2026-08-03,en,true,C,A,Claude harvest 2026-08-03,2026-08-03,,,,"NO coordination parameters published. IATA Level 1, opening 24H. Any capacity figure must come from the operator or a masterplan."
FR-TLS-10,TLS,runway,,mvts_per_hr,,false,,permanent,,,coordinator_no_declaration,COHOR Toulouse Blagnac airport page,https://www.cohor.org/en/airports/toulouse-blagnac-airport-tls-lfbo/,,2026,2026-08-03,en,true,C,A,Claude harvest 2026-08-03,2026-08-03,,,,"NO coordination parameters published. IATA Level 1, opening 24H. Any capacity figure must come from the operator or a masterplan."
FR-MPL-10,MPL,runway,,mvts_per_hr,,false,,permanent,,,coordinator_no_declaration,COHOR Montpellier Mediterranee airport page,https://www.cohor.org/en/airports/aeroport-de-montpellier-mediterranee-mpl-lfmt/,,2026,2026-08-03,en,true,C,A,Claude harvest 2026-08-03,2026-08-03,,,,"NO coordination parameters published. IATA Level 1, opening 24H. Page last modified 8 October 2024, consistent with nothing to publish. Any capacity figure must come from the operator or a masterplan."
FR-AJA-10,AJA,runway,,mvts_per_hr,,false,,permanent,,,coordinator_no_declaration,COHOR Ajaccio Napoleon Bonaparte airport page,https://www.cohor.org/en/airports/ajaccio-napoleon-bonaparte-aja-lfkj/,,2026,2026-08-03,en,true,C,A,Claude harvest 2026-08-03,2026-08-03,,,,"NO coordination parameters published. IATA Level 1, opening 24H. Page last modified 22 August 2023. Any capacity figure must come from the operator or a masterplan."
